id,md_datetime_utc_start_hour,md_network_series_tok,md_network_tok,md_datetime_utc_start,score
2018-01-13_1500_US_KCAL_KCAL_9_News_Saturday_main,2018011315,KCAL KCAL 9 News Saturday,KCAL,1515855601000,11.063826
2018-01-13_0700_US_KABC_Eyewitness_News_11PM_main,2018011307,KABC Eyewitness News 11PM,KABC,1515826801000,22.127651
2018-01-13_0700_US_KNBC_NBC_4_News_at_11pm_main,2018011307,KNBC NBC 4 News at 11pm,KNBC,1515826801000,15.646612
2018-01-13_0700_US_KCBS_CBS_2_News_at_11PM_main,2018011307,KCBS CBS 2 News at 11PM,KCBS,1515826801000,11.063826
2018-01-13_0200_US_KCBS_CBS_2_News_at_6PM_main,2018011302,KCBS CBS 2 News at 6PM,KCBS,1515808801000,11.063826
2018-01-13_0100_US_KABC_Eyewitness_News_5PM_main,2018011301,KABC Eyewitness News 5PM,KABC,1515805202000,11.063826
2018-01-12_2300_US_KNBC_The_Ellen_DeGeneres_Show_main,2018011223,KNBC The Ellen DeGeneres Show,KNBC,1515798001000,19.163107
2018-01-12_0700_US_KNBC_Today_main,2018011207,KNBC Today,KNBC,1515740402000,15.646612
2018-01-12_0700_US_KCBS_CBS_This_Morning_main,2018011207,KCBS CBS This Morning,KCBS,1515740401000,19.163107
2018-01-12_0700_US_KABC_Good_Morning_America_main,2018011207,KABC Good Morning America,KABC,1515740401000,11.063826
2018-01-12_0600_US_KTTV-FOX_Fox_11_Morning_News_at_6am_main,2018011206,KTTV-FOX Fox 11 Morning News at 6am,KTTV-FOX,1515736806000,15.646612
2018-01-11_1000_US_MSNBC_MSNBC_Live_With_Craig_Melvin_main,2018011110,MSNBC MSNBC Live With Craig Melvin,MSNBC,1515664801000,19.163107
2018-01-11_1000_US_WKYC_Channel_3_News_at_Sunrise_main,2018011110,WKYC Channel 3 News at Sunrise,WKYC,1515664801000,19.163107
2018-01-11_0700_US_KNBC_Today_main,2018011107,KNBC Today,KNBC,1515654005000,19.163107
2018-01-11_0700_US_KCBS_CBS_This_Morning_main,2018011107,KCBS CBS This Morning,KCBS,1515654001000,24.739466
2018-01-11_0700_US_KABC_Good_Morning_America_main,2018011107,KABC Good Morning America,KABC,1515654001000,15.646612
2018-01-11_0600_US_KTTV-FOX_Fox_11_Morning_News_at_6am_main,2018011106,KTTV-FOX Fox 11 Morning News at 6am,KTTV-FOX,1515650402000,15.646612
2018-01-11_0207_US_KABC_ABC_World_News_Now_main,2018011102,KABC ABC World News Now,KABC,1515636421000,11.063826
2018-01-10_0207_US_KABC_ABC_World_News_Now_main,2018011002,KABC ABC World News Now,KABC,1515550021000,19.163107
2018-01-09_0700_US_KABC_Good_Morning_America_main,2018010907,KABC Good Morning America,KABC,1515481202000,19.163107
2018-01-09_0700_US_KCBS_CBS_This_Morning_main,2018010907,KCBS CBS This Morning,KCBS,1515481201000,19.163107
2018-01-09_0700_US_KNBC_Today_main,2018010907,KNBC Today,KNBC,1515481201000,15.646612
2018-01-09_0600_US_KTTV-FOX_Fox_11_Morning_News_at_6am_main,2018010906,KTTV-FOX Fox 11 Morning News at 6am,KTTV-FOX,1515477602000,11.063826
2018-01-09_0207_US_KABC_ABC_World_News_Now_main,2018010902,KABC ABC World News Now,KABC,1515463621000,19.163107
2018-01-08_0700_US_KABC_Good_Morning_America_main,2018010807,KABC Good Morning America,KABC,1515394801000,29.272131
2018-01-01_0700_US_KNBC_NBC_4_News_at_11pm_main,2018010107,KNBC NBC 4 News at 11pm,KNBC,1514790001000,15.646612
2018-01-01_0600_US_KTTV-FOX_Fox_11_Ten_OClock_News_main,2018010106,KTTV-FOX Fox 11 Ten OClock News,KTTV-FOX,1514786401000,19.163107
2018-01-01_0400_US_KCAL_KCAL_9_News_at_8PM_main,2018010104,KCAL KCAL 9 News at 8PM,KCAL,1514779201000,15.646612
2018-01-01_0200_US_KNBC_NBC_4_News_main,2018010102,KNBC NBC 4 News,KNBC,1514772003000,15.646612
2018-01-01_0200_US_KCBS_CBS_2_News_at_6PM_main,2018010102,KCBS CBS 2 News at 6PM,KCBS,1514772002000,11.063826
2017-12-31_0600_US_KTTV-FOX_Fox_11_Ten_OClock_News_main,2017123106,KTTV-FOX Fox 11 Ten OClock News,KTTV-FOX,1514700002000,22.127651
2017-12-31_0100_US_KTTV-FOX_Fox_11_Weekend_News_main,2017123101,KTTV-FOX Fox 11 Weekend News,KTTV-FOX,1514682001000,11.063826
2017-12-31_0000_US_KABC_Eyewitness_News_4PM_main,2017123100,KABC Eyewitness News 4PM,KABC,1514678401000,11.063826
2017-12-30_0700_US_KNBC_NBC_4_News_at_11pm_main,2017123007,KNBC NBC 4 News at 11pm,KNBC,1514617202000,22.127651
2017-12-30_0700_US_KCBS_CBS_2_News_at_11PM_main,2017123007,KCBS CBS 2 News at 11PM,KCBS,1514617201000,22.127651
2017-12-30_0700_US_KABC_Eyewitness_News_11PM_main,2017123007,KABC Eyewitness News 11PM,KABC,1514617201000,15.646612
2017-12-30_0600_US_KTTV-FOX_Fox_11_Ten_OClock_News_main,2017123006,KTTV-FOX Fox 11 Ten OClock News,KTTV-FOX,1514613601000,19.163107
